Address,Price,No. of Beds,No. of Baths,Area,Extra Info
"5960 Walerga Rd #2, Sacramento, CA 95842","$205,000",2 beds,1 bath,840 sq ft,$265 HOA | Garage | $265 HOA
"3696 Naturita Way, Sacramento, CA 95834","$459,900",3 beds,2 baths,"1,194 sq ft","2,374 sq ft lot | Garage | 2,374 sq ft lot"
"3546 44th St, Sacramento, CA 95817","$399,900",4 beds,2 baths,"1,421 sq ft",
"5380 49th St, Sacramento, CA 95820","$340,000",2 beds,1 bath,790 sq ft,
"3718 Mirtoon Sea Ave, Sacramento, CA 95834","$599,990",3 beds,2 baths,"2,018 sq ft",
"865 Commons Dr, Sacramento, CA 95825","$450,000",2 beds,2 baths,"2,046 sq ft",
"5678 SE Power Inn Rd, Sacramento, CA 95824","$449,000",3 beds,3 baths,"1,400 sq ft",
"4001 Wyalong Way, Sacramento, CA 95826","$510,000",4 beds,2 baths,"1,579 sq ft",
"5203 Nelson St, Sacramento, CA 95820","$249,000",2 beds,1 bath,840 sq ft,
,,,,,
"903 Watt Ave, Sacramento, CA 95864","$459,000",4 beds,1 bath,"1,291 sq ft",
"6 Crystal Brook Ct, Sacramento, CA 95838","$470,000",3 beds,2 baths,"1,410 sq ft",
,,,,,
"4000 May, Sacramento, CA 95838","$799,000",8 beds,— baths,"2,800 sq ft",
"2923 Soul Aly, Sacramento, CA 95817","$350,000",2 beds,1 bath,682 sq ft,
"7905 Springarden Way, Sacramento, CA 95828","$614,999",3 beds,2 baths,"1,826 sq ft",
"4418 Natomas Central Dr, Sacramento, CA 95834","$510,000",3 beds,2.5 baths,"1,868 sq ft",
"3445 Hornsea Way, Sacramento, CA 95834","$669,000",5 beds,3 baths,"2,677 sq ft",
"3344 11th St, Sacramento, CA 95818","$1,199,000",4 beds,3 baths,"2,592 sq ft",
"3150 Spoonwood Way, Sacramento, CA 95833","$424,500",2 beds,2 baths,964 sq ft,
,,,,,
"5644 Verner Oak Ct #10, Sacramento, CA 95841","$365,000",2 beds,2.5 baths,"1,481 sq ft",
"425 10th St, Sacramento, CA 95814","$849,999",3 beds,3.5 baths,"1,818 sq ft",
"500 N St #902, Sacramento, CA 95814","$575,000",1 bed,2 baths,"1,261 sq ft",$547 HOA | Garage | $547 HOA
"3 Waban Ct, Sacramento, CA 95835","$646,204",4 beds,3 baths,"2,310 sq ft",
"832 Skipper Cir, Sacramento, CA 95822","$919,000",3 beds,2 baths,"1,742 sq ft",
"57 Kennelford Cir, Sacramento, CA 95823","$530,000",3 beds,2 baths,"1,478 sq ft",
"7548 Skelton Way, Sacramento, CA 95822","$425,000",3 beds,2 baths,"1,176 sq ft",
"4561 Tidewind Dr, Sacramento, CA 95838","$468,000",3 beds,2 baths,"1,355 sq ft",
"1231 D St, Sacramento, CA 95814","$499,999",3 beds,2 baths,"1,533 sq ft",
"3845 May St, Sacramento, CA 95838","$565,000",6 beds,— baths,"2,439 sq ft",
"462 De Mar Dr, Sacramento, CA 95831","$498,000",3 beds,2 baths,"1,409 sq ft",
"1340 Sebastian Way, Sacramento, CA 95864","$464,950",3 beds,2 baths,"1,170 sq ft",
"2130 26th St, Sacramento, CA 95818","$895,000",5 beds,2 baths,"2,196 sq ft",
"10018 Prairie Dunes Way, Sacramento, CA 95829","$599,900",4 beds,2.5 baths,"2,329 sq ft","7,510 sq ft lot | 3 garage spots | 7,510 sq ft lot"
"3649 Rio Pacifica Way, Out Of County, CA 99999","$489,900",3 beds,2 baths,"1,428 sq ft",
"5316 Allentown Way, Sacramento, CA 95835","$599,000",4 beds,3 baths,"2,020 sq ft",
"15 Cristalla Pl, Sacramento, CA 95835","$619,000",2 beds,2 baths,"2,218 sq ft",
"6244 Donnelly Ln, Sacramento, CA 95824","$499,999",6 beds,3 baths,"2,641 sq ft",
"3260 Gould Way, Sacramento, CA 95827","$475,000",5 beds,3 baths,"1,806 sq ft",0.24 acre lot | 2 garage spots | 0.24 acre lot
